id;nombre;descripcion;precio;categoria;imagen_url;stock;fecha_creacion
4013.0;Oso De Peluche;Edición limitada;61745.0;peluche;https://sorprendeme.com/img/peluche/105.jpg;173;2024-01-26
521.0;Oso De Peluche;Producto especial;46388.0;peluche;https://sorprendeme.com/img/peluche/239.jpg;129;2025-08-27
3612.0;Conejo Gigante;;212404.0;peluche;https://sorprendeme.com/img/peluche/829.jpg;1;2025-10-27
1140.0;Panda Suave;Producto especial;236523.0;peluche;https://sorprendeme.com/img/peluche/792.jpg;74;2025-08-14
7429.0;Ancheta Romántica;Más vendido;69489.0;ancheta;https://sorprendeme.com/img/ancheta/364.jpg;53;2025-01-24
8752.0;Oso De Peluche;Edición limitada;69740.0;peluche;https://sorprendeme.com/img/peluche/389.jpg;69;2025-09-15
917.0;Conejo Gigante;Edición limitada;290304.0;peluche;https://sorprendeme.com/img/peluche/825.jpg;80;2025-12-02
3484.0;Caja De Amor;;147537.0;ancheta;https://sorprendeme.com/img/ancheta/937.jpg;164;2025-08-03
9578.0;Bouquet Mixto;;315771.0;flores;https://sorprendeme.com/img/flores/409.jpg;92;2024-09-09
1797.0;Canasta Especial;Edición limitada;225194.0;ancheta;https://sorprendeme.com/img/ancheta/812.jpg;174;2024-04-03
8670.0;Canasta Especial;Más vendido;340311.0;ancheta;https://sorprendeme.com/img/ancheta/882.jpg;2;2025-01-25
1828.0;Ancheta Premium;Más vendido;160646.0;ancheta;https://sorprendeme.com/img/ancheta/465.jpg;0;2025-10-18
8318.0;Panda Suave;Producto especial;306624.0;peluche;https://sorprendeme.com/img/peluche/306.jpg;163;2025-05-27
8838.0;Caja De Amor;Producto especial;215646.0;ancheta;https://sorprendeme.com/img/ancheta/501.jpg;4;2025-01-17
3947.0;Girasoles;Producto especial;43694.0;flores;https://sorprendeme.com/img/flores/498.jpg;17;2024-09-02
9008.0;Conejo Gigante;Edición limitada;103794.0;peluche;https://sorprendeme.com/img/peluche/894.jpg;155;2024-11-05
6538.0;Caja De Amor;Más vendido;161764.0;ancheta;https://sorprendeme.com/img/ancheta/530.jpg;115;2025-12-31
