id;nombre;descripcion;precio;categoria;imagen_url;stock;fecha_creacion
4507;Peluche Lucifer;"Qui doloribus consequuntur. Perspiciatis tempora assumenda in.
Dolor magnam ad dicta.";61745;peluche;https://sorprendeme.com/img/peluche/4507.jpg;26;2025-06-03
3612;Panda Pequeño;Voluptatum minus voluptas similique accusamus quam placeat modi. Quisquam excepturi eos culpa a. Voluptas quis magni autem numquam.;108194;peluche;https://sorprendeme.com/img/peluche/3612.jpg;1;2025-12-25
3528;Conejo Grande;Quisquam consectetur labore mollitia eaque sit incidunt. Ut quidem porro quae id.;127759;peluche;https://sorprendeme.com/img/peluche/3528.jpg;23;2024-08-26
712;Ancheta Termo Gym;Omnis explicabo illum sint. Perferendis voluptates atque.;194636;ancheta;https://sorprendeme.com/img/ancheta/712.jpg;96;2024-08-08
5926;Conejo Grande;Laboriosam sint temporibus cum a hic unde. Eligendi possimus quas quos optio laborum deleniti. Voluptas neque molestiae quibusdam animi.;251032;peluche;https://sorprendeme.com/img/peluche/5926.jpg;11;2025-03-22
6228;Ramo De Rosas;Ab numquam natus aut. Distinctio eaque ut sunt sunt fuga culpa. Provident nostrum voluptates omnis ab repellendus error.;227954;flores;https://sorprendeme.com/img/flores/6228.jpg;93;2025-04-15
1170;Bouquet Con Girasoles;"At incidunt eius. Ex consectetur voluptatem.
Mollitia incidunt ab asperiores sunt temporibus. Alias fuga mollitia inventore aliquam facilis ut.";72331;flores;https://sorprendeme.com/img/flores/1170.jpg;186;2025-07-27
9126;Ancheta Termo Gym;Sint voluptate repellat sunt ad. Quos illum pariatur quasi dolorum culpa.;123635;ancheta;https://sorprendeme.com/img/ancheta/9126.jpg;196;2025-11-22
1085;Ancheta Romántica;Odit id voluptatem modi vel beatae. Debitis vitae eaque autem ipsa.;330875;ancheta;https://sorprendeme.com/img/ancheta/1085.jpg;183;2026-01-19
7518;Ancheta Con Peluche Y Frutas;Sin descripción disponible;61776;ancheta;https://sorprendeme.com/img/ancheta/7518.jpg;190;2024-07-06
6544;Panda Pequeño;"Est illum illo eos consectetur in velit. Nulla error molestias a.
Inventore neque omnis iure ipsam. Maiores recusandae vero quasi omnis.";349104;peluche;https://sorprendeme.com/img/peluche/6544.jpg;35;2024-05-27
2622;Ancheta Romántica;Suscipit nemo quaerat fugit id corporis. Tempora similique suscipit. Dolor rem possimus iure nam totam.;156424;ancheta;https://sorprendeme.com/img/ancheta/2622.jpg;16;2026-01-13
